"","gene","variable","value","region","stage"
"1","Solyc01g006250.1.1","a1.leaf",-1.21930113529721,"leaf","1"
"2","Solyc01g006300.2.1","a1.leaf",-0.637461970117854,"leaf","1"
"3","Solyc01g006850.1.1","a1.leaf",-1.17913279573379,"leaf","1"
"4","Solyc01g008940.2.1","a1.leaf",-0.697679074344922,"leaf","1"
"5","Solyc01g017500.1.1","a1.leaf",-0.907196589171203,"leaf","1"
"6","Solyc01g080050.2.1","a1.leaf",-1.1259828854254,"leaf","1"
"7","Solyc01g099260.2.1","a1.leaf",-0.444100493634558,"leaf","1"
"8","Solyc01g099450.2.1","a1.leaf",-1.13992182072431,"leaf","1"
"9","Solyc01g103660.2.1","a1.leaf",-0.728228043679359,"leaf","1"
"10","Solyc01g111160.2.1","a1.leaf",-0.729432927272557,"leaf","1"
"11","Solyc02g070420.2.1","a1.leaf",-0.774456244801999,"leaf","1"
"12","Solyc02g084130.2.1","a1.leaf",-0.467381804407905,"leaf","1"
"13","Solyc02g089480.1.1","a1.leaf",-0.708567929689676,"leaf","1"
"14","Solyc02g090690.1.1","a1.leaf",-0.954532949292346,"leaf","1"
"15","Solyc02g091140.2.1","a1.leaf",-0.701065918927538,"leaf","1"
"16","Solyc02g093380.1.1","a1.leaf",0.292595887122018,"leaf","1"
"17","Solyc03g013440.2.1","a1.leaf",-0.332725009466258,"leaf","1"
"18","Solyc03g045150.1.1","a1.leaf",-0.749542169374166,"leaf","1"
"19","Solyc03g083730.1.1","a1.leaf",-0.789076847797777,"leaf","1"
"20","Solyc03g113180.2.1","a1.leaf",0.402945041690004,"leaf","1"
"21","Solyc03g119470.1.1","a1.leaf",-0.839537577805585,"leaf","1"
"22","Solyc03g121680.1.1","a1.leaf",-0.615782117104247,"leaf","1"
"23","Solyc03g122070.1.1","a1.leaf",-0.534511568798735,"leaf","1"
"24","Solyc04g015820.1.1","a1.leaf",-0.630215688530089,"leaf","1"
"25","Solyc04g074400.1.1","a1.leaf",-1.00349760482687,"leaf","1"
"26","Solyc04g074920.2.1","a1.leaf",-0.91323585232987,"leaf","1"
"27","Solyc04g074970.2.1","a1.leaf",-1.37350074887938,"leaf","1"
"28","Solyc04g081990.2.1","a1.leaf",0.173944987591196,"leaf","1"
"29","Solyc05g026600.2.1","a1.leaf",-0.776037391925983,"leaf","1"
"30","Solyc05g048820.2.1","a1.leaf",0.381234746587832,"leaf","1"
"31","Solyc06g006020.1.1","a1.leaf",-0.612644124690902,"leaf","1"
"32","Solyc06g009140.2.1","a1.leaf",-1.08628766751991,"leaf","1"
"33","Solyc06g054150.1.1","a1.leaf",0.300384793436003,"leaf","1"
"34","Solyc06g060010.2.1","a1.leaf",-0.608367108979912,"leaf","1"
"35","Solyc06g068190.1.1","a1.leaf",-0.112459542892158,"leaf","1"
"36","Solyc06g072320.2.1","a1.leaf",-0.678601404099031,"leaf","1"
"37","Solyc06g073580.2.1","a1.leaf",-0.0780562519021142,"leaf","1"
