library,sample
A1,first.leaf.1
B2,first.leaf.2
C3,first.leaf.3
D4,first.leaf.4
A2,first.SAM.1
B3,first.SAM.2
E5,first.SAM.3
F6,first.SAM.4
C4,second.leaf.1
D5,second.leaf.2
E6,second.leaf.3
F7,second.leaf.4
A3,second.SAM.1
B4,second.SAM.2
C5,second.SAM.3
D6,second.SAM.4
A4,third.leaf.1
B5,third.leaf.2
C6,third.leaf.3
D7,third.leaf.4
E7,third.leaf.5
E8,third.leaf.6
F1,third.leaf.7
F8,third.leaf.8
A5,third.SAM.1
A6,third.SAM.2
B6,third.SAM.3
B7,third.SAM.4
C7,third.SAM.5
D8,third.SAM.6
E1,third.SAM.7
F2,third.SAM.8
C8,fourth.leaf.1
D1,fourth.leaf.2
E2,fourth.leaf.3
F3,fourth.leaf.4
A8,fourth.SAM.5
B1,fourth.SAM.6
E3,fourth.SAM.7
F4,fourth.SAM.8
A7,fifth.leaf.1
B8,fifth.leaf.2
C1,fifth.leaf.3
D2,fifth.leaf.4
C2,fifth.SAM.1
D3,fifth.SAM.2
E4,fifth.SAM.3
F5,fifth.SAM.4
