itag,logFC,logCPM,PValue,FDR,chromosome,begin,end,Human.readable.description,Subject.ID,Description,Score,E.Value,Identities
Solyc04g077210.2.1,4.195026344,4.125425035,9.68E-24,1.67E-19,SL2.40ch04,59728777,59736042,Knotted-like homeobox protein (AHRD V1 ***- Q49RB7_POPTO); contains Interpro domain(s)  IPR005541  KNOX2 ,AT4G08150.1 ,"KNAT1, BP, BP1 | KNAT1 (KNOTTED-LIKE FROM ARABIDOPSIS THALIANA); transcription factor | chr4:5147969-5150610 REVERSE", 414 bits (1063), e-116, 215/309 (69%)
Solyc05g005090.2.1,2.810654542,5.517619136,7.04E-23,6.06E-19,SL2.40ch05,87082,93883,Knotted-1-like homeobox protein H1 (AHRD V1 ***- Q8GUS6_TOBAC); contains Interpro domain(s)  IPR005541  KNOX2 ,AT1G23380.1 ,"KNAT6, KNAT6L, KNAT6S | KNAT6; DNA binding / transcription activator/ transcription factor | chr1:8297499-8302492 REVERSE", 326 bits (835),1.00E-89, 183/333 (54%)
Solyc02g068410.1.1,8.383933441,2.251762344,8.56E-20,4.92E-16,SL2.40ch02,32938286,32942722,AT4G20050-like protein (Fragment) (AHRD V1 *-*- D6PQZ2_9BRAS); contains Interpro domain(s)  IPR011050  Pectin lyase fold/virulence factor ,AT4G20040.1 ,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Pectin lyase fold/virulence factor (InterPro:IPR011050), Parallel beta-helix repeat (InterPro:IPR006626); BEST Arabidopsis thaliana protein match is: QRT3 (QUARTET 3); polygalacturonase (TAIR:AT4G20050.2); Has 90 Blast hits to 90 proteins in 38 species: Archae - 0; Bacteria - 51; Metazoa - 0; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink). | chr4:10847348-10848963 REVERSE", 528 bits (1359), e-150, 258/428 (60%)
Solyc05g051380.2.1,3.545749744,5.328122113,3.68E-19,1.58E-15,SL2.40ch05,60811976,60816514,"AP2-like ethylene-responsive transcription factor At1g16060 (AHRD V1 *-*- AP2L1_ARATH); contains Interpro domain(s)  IPR001471  Pathogenesis-related transcriptional factor and ERF, DNA-binding ",AT5G10510.2 ,AIL6 | AIL6 (AINTEGUMENTA-LIKE 6); DNA binding / transcription factor | chr5:3315991-3320008 FORWARD, 454 bits (1167), e-128, 315/605 (52%)
Solyc01g100510.2.1,2.442240706,5.255326662,4.89E-19,1.68E-15,SL2.40ch01,82275127,82279577,"Knotted-like homeobox protein (AHRD V1 ***- Q49RB7_POPTO); contains Interpro domain(s)  IPR001356  Homeobox  IPR005539  ELK  IPR017970  Homeobox, conserved site ",AT1G70510.1 ,"KNAT2, ATK1 | KNAT2 (KNOTTED-LIKE FROM ARABIDOPSIS THALIANA 2); transcription factor | chr1:26576635-26582145 FORWARD", 258 bits (659),4.00E-69, 132/242 (54%)
Solyc11g069890.1.1,3.91730134,5.050574082,6.67E-18,1.91E-14,SL2.40ch11,51585084,51589846,BEL1-like homeodomain protein 8 (AHRD V1 *--- BLH8_ARATH); contains Interpro domain(s)  IPR006563  POX ,AT2G27990.1 ,"BLH8, PNF | BLH8 (BEL1-LIKE HOMEODOMAIN 8); DNA binding / transcription factor | chr2:11921540-11923902 REVERSE", 253 bits (647),2.00E-67, 167/430 (38%)
Solyc08g075940.2.1,3.624557443,3.364569547,8.94E-17,2.20E-13,SL2.40ch08,57177561,57187966,"DNA-directed RNA polymerase (AHRD V1 ***- B9IL57_POPTR); contains Interpro domain(s)  IPR015712  DNA-directed RNA polymerase, subunit 2 ",AT3G23780.1 ,"NRPD2A, DRD2, NRPD2, DMS2, NRPE2 | NRPD2A; DNA binding / DNA-directed RNA polymerase | chr3:8567971-8573819 REVERSE", 1571 bits (4067),0, 776/1200 (64%)
Solyc09g097930.2.1,1.718390468,5.846774176,1.13E-16,2.43E-13,SL2.40ch09,67180180,67182477,"MazG nucleotide pyrophosphohydrolase (AHRD V1 ***- B1J275_PSEPW); contains Interpro domain(s)  IPR004518  NTP pyrophosphohydrolase MazG, putative catalytic core ",AT3G25400.1 ,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: NTP Pyrophosphohydrolase MazG-related, RS21-C6 (InterPro:IPR011394), EAR (InterPro:IPR009039), NTP pyrophosphohydrolase MazG, putative catalytic core (InterPro:IPR004518); Has 572 Blast hits to 572 proteins in 181 species: Archae - 11; Bacteria - 286; Metazoa - 71; Fungi - 1; Plants - 31; Viruses - 0; Other Eukaryotes - 172 (source: NCBI BLink). | chr3:9213236-9214144 FORWARD", 179 bits (455),5.00E-46, 87/112 (77%)
Solyc01g100600.2.1,2.387955374,4.305316831,1.30E-16,2.48E-13,SL2.40ch01,82339251,82342726,Kelch domain-containing protein 3 (AHRD V1 *--- B0W5R4_CULQU); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller ,AT1G74150.1 ,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Galactose oxidase/kelch, beta-propeller (InterPro:IPR011043), Kelch repeat type 1 (InterPro:IPR006652), Kelch repeat type 2 (InterPro:IPR011498), Kelch-type beta propeller (InterPro:IPR015915); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G18610.1); Has 8525 Blast hits to 4249 proteins in 295 species: Archae - 10; Bacteria - 313; Metazoa - 3989; Fungi - 859; Plants - 1220; Viruses - 19; Other Eukaryotes - 2115 (source: NCBI BLink). | chr1:27880528-27883496 FORWARD", 108 bits (271),5.00E-24, 51/161 (31%)
Solyc02g081120.2.1,4.208101687,7.063027673,4.45E-16,7.66E-13,SL2.40ch02,39767063,39773953,Knotted-1-like homeobox protein H1 (AHRD V1 ***- Q8GUS6_TOBAC); contains Interpro domain(s)  IPR005541  KNOX2 ,AT1G62360.1 ,"STM, BUM1, SHL, WAM1, BUM, WAM | STM (SHOOT MERISTEMLESS); transcription factor | chr1:23058796-23061722 REVERSE", 387 bits (995), e-108, 205/263 (77%)
