"","ITAG","SGN_annotation","AGI","gene_name"
"1","Solyc00g013120.2.1",NA,NA,NA
"2","Solyc00g013140.1.1","NADH dehydrogenase subunit 5 (Fragment) (AHRD V1 ***- A1XJP5_SIMCH); contains Interpro domain(s)  IPR003945  NADH-plastoquinone oxidoreductase, chain 5 ","ATMG00665","Mitochondrial NADH dehydrogenase subunit 5. The gene is trans-spliced from three different pre-cursors, NAD5a, NAD5b and NAD5c."
"3","Solyc00g013160.1.1",NA,NA,NA
"4","Solyc00g013170.1.1",NA,NA,NA
"5","Solyc00g013190.1.1",NA,NA,NA
"6","Solyc00g019960.1.1",NA,NA,NA
"7","Solyc00g022110.2.1","Ribosomal protein L2 (AHRD V1 ***- Q5M9S7_TOBAC); contains Interpro domain(s)  IPR002171  Ribosomal protein L2 ","ATMG00560","encodes a mitochondrial ribosomal protein L2, a constituent of the large subunit of the ribosomal complex"
"8","Solyc00g023600.1.1",NA,NA,NA
"9","Solyc00g029190.2.1",NA,NA,NA
"10","Solyc00g094540.1.1",NA,NA,NA
"11","Solyc00g142160.1.1",NA,NA,NA
"12","Solyc00g244290.1.1",NA,NA,NA
"13","Solyc00g320430.1.1",NA,NA,NA
"14","Solyc01g007080.2.1",NA,NA,NA
